geneid	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ENSG00000165115	0.000289768165465933	-1.2968843198336	0.099	0.262	1
ENSG00000092978	0.000296736334618477	-1.2672552607193	0.12	0.295	1
ENSG00000179134	0.000432901190485924	1.78436098742061	0.304	0.082	1
ENSG00000238062	0.000564410083878183	-1.31980671570633	0.106	0.262	1
ENSG00000134077	0.000809159852271803	-1.00698031438366	0.161	0.344	1
ENSG00000198692	0.000848548736005522	-0.973585568181658	0.152	0.328	1
ENSG00000188655	0.000893499551208506	-0.899928968903225	0.28	0.475	1
ENSG00000103415	0.00093564969545217	-1.13388939505055	0.111	0.262	1
ENSG00000127241	0.000995716862200672	1.49456116419437	0.33	0.115	1
ENSG00000146463	0.00107286965525611	-1.19910192255355	0.28	0.475	1
ENSG00000133639	0.00112098788388174	-1.03227500973641	0.219	0.41	1
ENSG00000106089	0.00116215703457034	-0.918143665537599	0.164	0.344	1
ENSG00000171824	0.00134706312458755	-1.75890193264607	0.212	0.377	1
ENSG00000261617	0.00137737020411322	-1.5676411874918	0.149	0.311	1
ENSG00000100664	0.00218774369363784	-1.02091905734923	0.441	0.639	1
ENSG00000153140	0.00237650291560648	-1.11325840510258	0.13	0.279	1
ENSG00000149554	0.00242439453370872	-0.870650026303823	0.128	0.279	1
ENSG00000137409	0.0025136473272939	1.44079215400604	0.465	0.279	1
ENSG00000115561	0.00270061360460626	-0.695025908728603	0.147	0.311	1
ENSG00000088179	0.00279073628390868	-0.863612076406762	0.448	0.656	1
ENSG00000122970	0.00281498587760706	-0.771855517408543	0.369	0.574	1
ENSG00000180263	0.00283702735083487	-0.614815523885434	0.26	0.443	1
ENSG00000145391	0.0028543932804368	1.71415991777306	0.434	0.262	1
ENSG00000168175	0.00292193054499573	-1.19174675106192	0.19	0.361	1
ENSG00000152977	0.00300617109442874	-0.748652084476074	0.229	0.41	1
ENSG00000274070	0.00301386883153241	-0.889937732028929	0.255	0.443	1
ENSG00000103569	0.00349440481424785	-1.29076044103788	0.169	0.328	1
ENSG00000081041	0.00353589625558216	-1.01037399002846	0.133	0.279	1
ENSG00000223865	0.00356382440056032	-1.3602136685043	0.128	0.262	1
ENSG00000135447	0.00365182253856554	-1.54625240126903	0.157	0.295	1
ENSG00000134769	0.00377715854082156	0.990699469776955	0.345	0.164	1
ENSG00000006634	0.00446591018210255	-1.13808354082092	0.125	0.262	1
ENSG00000155085	0.00454230905396011	1.39723988371044	0.417	0.23	1
ENSG00000284791	0.00459240873150307	-1.26764571728767	0.171	0.328	1
ENSG00000279674	0.00465298394366728	-2.12320832877714	0.243	0.377	1
ENSG00000263001	0.00476635178169787	-1.13629177522104	0.219	0.377	1
ENSG00000013306	0.00484721646807778	-1.88755073473209	0.125	0.262	1
ENSG00000101407	0.00494189372617263	-1.03460107995417	0.137	0.279	1
ENSG00000166266	0.00507380914005724	-0.913182115236396	0.311	0.475	1
ENSG00000152520	0.00509449846842222	-0.994933975953106	0.32	0.492	1
ENSG00000142794	0.00514329357602308	1.67447179477957	0.47	0.311	1
ENSG00000213799	0.00547416513435442	-0.788307163675117	0.133	0.279	1
ENSG00000151490	0.00571221266208693	1.28391638965392	0.364	0.18	1
ENSG00000144635	0.00589023373943135	-0.722607243354313	0.316	0.492	1
ENSG00000163125	0.00591466020270291	-1.1807405378484	0.33	0.475	1
ENSG00000005810	0.00595393850213831	0.724159723581014	0.687	0.541	1
ENSG00000112406	0.00598587697928664	-1.06532980041177	0.214	0.377	1
ENSG00000108064	0.0060382514776386	-0.772368771572726	0.171	0.328	1
ENSG00000105821	0.00616363238858284	-0.591375932076552	0.427	0.607	1
ENSG00000077044	0.00616722970815693	0.984539721743471	0.439	0.262	1
ENSG00000071655	0.00630961120538859	-0.783115613328215	0.306	0.475	1
ENSG00000110906	0.00644357572652193	0.780160393578757	0.398	0.213	1
ENSG00000182195	0.00655812866917285	-1.26640803181708	0.178	0.328	1
ENSG00000234056	0.00687049698580424	1.46382715742989	0.361	0.197	1
ENSG00000095002	0.006920814943128	-0.871156120910975	0.333	0.525	1
ENSG00000126216	0.00694194765026103	1.51401803949023	0.255	0.098	1
ENSG00000157306	0.00747217839508589	-2.17387600612244	0.183	0.311	1
ENSG00000147419	0.00755893083112007	-1.03178292276861	0.282	0.443	1
ENSG00000232044	0.00778290289683327	1.22456552652195	0.354	0.197	1
ENSG00000048991	0.00781076732824213	-0.672475128464138	0.511	0.689	1
ENSG00000077454	0.00808692052877633	-0.931631441940376	0.263	0.443	1
ENSG00000038532	0.008439765645362	1.89467512844888	0.393	0.262	1
ENSG00000146197	0.00872459711740991	1.53215976420465	0.265	0.115	1
ENSG00000162601	0.0091067682206618	1.02435186477884	0.443	0.295	1
ENSG00000272888	0.00914510036154121	-0.680973144738939	0.267	0.443	1
ENSG00000185920	0.00922662854866678	-0.863264611397479	0.424	0.59	1
ENSG00000154845	0.00942584990690028	1.05816245726421	0.364	0.18	1
ENSG00000204397	0.00946923184516915	-0.744232578645545	0.484	0.639	1
ENSG00000177301	0.00957478324092817	1.85140254028476	0.427	0.279	1
ENSG00000236154	0.00980566006253884	-0.689623208322946	0.308	0.475	1
ENSG00000121766	0.00998842368123629	-0.825972164898079	0.422	0.574	1
