geneid	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ENSG00000233098	0.000012286500987978	3.61042945320813	0.619	0.148	0.159220766303207
ENSG00000286217	0.000105926030630484	2.86443351757439	0.429	0.066	1
ENSG00000086758	0.000388853032604092	-1.44374111067504	0.476	0.852	1
ENSG00000038532	0.000498693112047365	2.60088150407219	0.619	0.262	1
ENSG00000197619	0.000508124766056643	3.79340234596073	0.333	0.049	1
ENSG00000094963	0.000544714959071691	3.10621205424827	0.333	0.049	1
ENSG00000234810	0.000701931760473238	1.91537306072487	0.476	0.115	1
ENSG00000167526	0.000782456095226866	-1.5570793963027	0.619	0.869	1
ENSG00000159322	0.000872071344528744	3.93154328961171	0.429	0.131	1
ENSG00000135108	0.000938045254066542	2.74036645025633	0.381	0.082	1
ENSG00000110876	0.00107221963222618	3.73046303605187	0.429	0.115	1
ENSG00000135472	0.00110610422872839	1.47179585873402	0.476	0.148	1
ENSG00000232044	0.00111892355825101	3.45022156433239	0.524	0.197	1
ENSG00000228252	0.00112062247300822	2.31394856296587	0.381	0.082	1
ENSG00000185551	0.00121679994773555	1.32453453506875	0.714	0.377	1
ENSG00000118160	0.00147651770092228	3.4157912269368	0.476	0.164	1
ENSG00000170153	0.00165395324496315	0.719851695013495	0.476	0.131	1
ENSG00000197706	0.00180497270241859	2.59089725594731	0.333	0.066	1
ENSG00000106536	0.00190559697616682	1.83470291434052	0.714	0.361	1
ENSG00000181634	0.00190973406400758	2.63406638916224	0.429	0.131	1
ENSG00000214145	0.00191801262905191	1.51141592888893	0.333	0.066	1
ENSG00000249353	0.00204528484751155	-0.68068891482699	0.095	0.443	1
ENSG00000144554	0.00228563286584984	1.91189516581256	0.571	0.213	1
ENSG00000136754	0.00237753470021918	-1.49186340317198	0.143	0.574	1
ENSG00000161940	0.00254962403573168	1.57226588384521	0.524	0.197	1
ENSG00000178878	0.00264602144177656	2.98721523665923	0.381	0.098	1
ENSG00000132128	0.00266474264649705	1.80762024038971	0.524	0.197	1
ENSG00000285626	0.00289630341716591	1.94852731503726	0.619	0.279	1
ENSG00000237928	0.00310138486067698	2.318478677408	0.381	0.098	1
ENSG00000182809	0.00326837074537027	1.75400620355389	0.381	0.098	1
ENSG00000263001	0.00349213144155042	-3.03471623839512	0.048	0.377	1
ENSG00000150764	0.00362714822644477	2.06801983087381	0.381	0.098	1
ENSG00000121289	0.00378644956818174	2.18401710397901	0.524	0.246	1
ENSG00000123360	0.0040153109659029	1.48291415810378	0.619	0.295	1
ENSG00000156042	0.00407866978864116	0.758254574955049	0.714	0.361	1
ENSG00000071246	0.00432998305945026	0.81404749363729	0.619	0.246	1
ENSG00000127241	0.00456358518359498	2.61684872123915	0.381	0.115	1
ENSG00000253516	0.0045963239919252	2.84146172138246	0.333	0.082	1
ENSG00000229425	0.00466003566544917	1.85744311338702	0.524	0.197	1
ENSG00000244754	0.00472530575093154	-1.2161515888412	0.619	0.803	1
ENSG00000163736	0.00486922406027362	-1.96007995516909	0.286	0.623	1
ENSG00000120451	0.00495363485402027	1.35746235778379	0.571	0.279	1
ENSG00000102893	0.0052689799777357	-1.41831606796723	0.19	0.557	1
ENSG00000157578	0.00539917372273182	1.44072711882013	0.333	0.082	1
ENSG00000143409	0.00551417183074549	-3.18174017509706	0.048	0.377	1
ENSG00000077063	0.00569368677278309	1.87896139707797	0.333	0.082	1
ENSG00000177889	0.00582404936315219	2.42792134494221	0.429	0.148	1
ENSG00000281664	0.0058360861535229	2.73278446408333	0.286	0.066	1
ENSG00000165055	0.0058360861535229	3.63071712066886	0.286	0.066	1
ENSG00000081853	0.00600261284357826	0.740888964969954	0.333	0.082	1
ENSG00000107140	0.00609068694439824	2.11086686770868	0.429	0.148	1
ENSG00000145626	0.00613727458728365	3.65577303626698	0.333	0.098	1
ENSG00000286266	0.00617838374448842	2.11346696465357	0.286	0.066	1
ENSG00000010165	0.00632656053577855	1.46834656960173	0.333	0.082	1
ENSG00000120690	0.00635944090924255	-0.687248019423185	0.524	0.787	1
ENSG00000229847	0.00638166927491501	0.949230616999562	0.81	0.59	1
ENSG00000204291	0.00645656508971328	2.89990660015724	0.333	0.098	1
ENSG00000163558	0.00653865479429353	1.98529227720245	0.286	0.066	1
ENSG00000101307	0.00672290708005107	1.67770311065143	0.381	0.115	1
ENSG00000145391	0.00677087830146206	2.11338975523869	0.524	0.262	1
ENSG00000233363	0.00691771062148318	2.41606731060215	0.286	0.066	1
ENSG00000261371	0.00694371039598475	-1.34201078716917	0.429	0.738	1
ENSG00000155621	0.00721211346243153	1.43361679836526	0.476	0.18	1
ENSG00000234593	0.00731639138351134	2.36957820347762	0.286	0.066	1
ENSG00000166788	0.00731639138351134	2.0458070204206	0.286	0.066	1
ENSG00000224429	0.00731639138351134	2.3810631022447	0.286	0.066	1
ENSG00000258869	0.00731639138351134	3.91863525218242	0.286	0.066	1
ENSG00000163682	0.00750255428864741	-1.29270459235551	0.476	0.787	1
ENSG00000134389	0.00773556667202905	2.68431402161612	0.286	0.066	1
ENSG00000173557	0.00773556667202905	2.47595749556946	0.286	0.066	1
ENSG00000277954	0.00773556667202905	2.47190373623656	0.286	0.066	1
ENSG00000260019	0.00773556667202905	1.82543119555576	0.286	0.066	1
ENSG00000130856	0.00773772767966763	1.56504689943597	0.667	0.361	1
ENSG00000196700	0.00786749067163326	3.59667265219995	0.333	0.115	1
ENSG00000166135	0.00787161673533385	0.949613100764688	0.619	0.295	1
ENSG00000164111	0.00788265124089548	2.0365213977228	0.524	0.262	1
ENSG00000172687	0.00788843181041538	2.4950913049079	0.333	0.098	1
ENSG00000284052	0.0079525304508574	1.64720451887171	0.381	0.148	1
ENSG00000196155	0.00807461450444296	2.65755037266681	0.381	0.131	1
ENSG00000256115	0.00819019218225557	3.15746154536834	0.429	0.164	1
ENSG00000018408	0.00829256725919324	1.71483455565645	0.667	0.393	1
ENSG00000177301	0.00838994732278525	2.06292278277039	0.571	0.279	1
ENSG00000137573	0.00845792415799426	0.838753490715337	0.524	0.23	1
ENSG00000221983	0.00847950641602617	-1.13583861804165	0.381	0.705	1
ENSG00000115414	0.00870245927487446	2.54522444308163	0.571	0.279	1
ENSG00000205622	0.00870245927487446	1.59486709002414	0.571	0.279	1
ENSG00000131398	0.00890388166939018	0.603948428114027	0.381	0.115	1
ENSG00000104885	0.00890388166939018	1.39353903339164	0.381	0.115	1
ENSG00000151131	0.00907925759872434	1.72600355533551	0.667	0.426	1
ENSG00000162735	0.00912520929594123	1.87948626048795	0.286	0.066	1
ENSG00000238273	0.00912520929594123	1.67734721258307	0.286	0.066	1
ENSG00000005108	0.0091424835811695	2.38448014108309	0.333	0.098	1
ENSG00000136929	0.00935802202616487	-0.998974415269876	0.762	0.951	1
ENSG00000140400	0.00959842351092141	1.91662737800695	0.333	0.098	1
ENSG00000131475	0.00963566744385073	2.07615772944761	0.286	0.066	1
ENSG00000048540	0.00969336463814346	2.0152265672894	0.524	0.246	1
ENSG00000010310	0.00976029003106439	0.611188517688487	0.381	0.115	1
ENSG00000114841	0.00984224830896606	1.1239468479438	0.667	0.377	1
ENSG00000143751	0.00987586122274227	-3.2304260561588	0.095	0.393	1
